"","N1","N2","N3","T1","T2","T3"
"DLX6",67.1744209690204,142.755932478389,1.8512961336987,287.807618668294,196.703966698434,275.806362444441
"MAP3K9",85.4548758096891,99.935148880423,0.588657800032523,45.6143676837525,90.3970789364652,35.226617627105
"RALA",198.050891096932,136.204113592132,6.92872079285295,1104.34191769935,2172.1919579756,1578.87814205886
"BAIAP2L1",214.487466413277,174.568067478243,3.22537512383435,548.929587598938,1408.77664491063,1229.74525216893
"KDM7A",119.673144771357,731.324371194989,91.4764552596403,160.023754871564,101.944751714228,130.642409224278
"ETV1",3.00133679436703,34.7472384385198,0,11.2871909551396,0,13.3593554347035
"AGK",226.677108532032,136.1365670452,8.76356765782207,357.000202071685,613.138011112412,496.045938970744
"ALDH3B1",202.044479650407,225.797121089234,29.8336117672498,113.352549870692,218.060255889834,112.518177572378
"TTC22",142.733265218604,210.592282213992,5.18144430965488,723.151365780119,371.367851852727,295.673323317267
"PHTF2",280.981665871054,110.185746056866,6.8866558690025,257.961456222595,458.577801192486,383.068256096101
"CCL26",22.3418529483641,6.57712432058736,1.16379204096447,0,0,0
"FARP2",383.046516347037,163.919056835723,9.7619880429327,505.666846467236,584.704403546222,257.380199823598
"USH1C",74.2707727565518,225.324360649428,2.94429353565755,0,0,0
"GGCT",136.184837660502,1.2957428596387,0,5027.23234638456,3908.13916013641,4155.78048623562
"DBF4",88.2433499537739,46.1263795196112,6.6674285539264,240.494958450117,291.822138905862,174.39181216932
"TBXA2R",45.9882536498314,232.496195371126,3.49320940017167,15.7283586293842,0,6.67403770498209
"IFRD1",162.023776809103,2140.44093850637,53.740464114377,330.642271894776,366.454990614504,535.420422382064
"LGALS14",0,5.58766222167472,2.11174707414824,0,0,0
"COX10",161.714049694367,79.6747811803446,3.26028273228337,822.616019248295,655.636133486757,234.471715224888
"GTF2IRD1",118.158524702339,224.137751562132,0,761.026319143685,640.366271474061,885.392255461652
"PAF1",82.4088050834067,358.32037290024,20.5928520792521,1223.81979350998,3023.86555193468,1180.08165613018
"VPS41",457.364591914762,306.909800204754,18.1387216383486,421.632529068506,889.749889129675,523.472661699711
"ARHGAP44",74.3844678092515,228.654869673087,1.49255139506967,25.4479990359052,41.5057006358,2.68360784887809
"ELAC2",144.540250321853,171.953237986212,11.1206976399958,857.199642735725,1128.91146384317,645.037695923469
"SCIN",208.860203524458,36.7711500751537,3.08151308426582,19.677984553659,531.670296961296,82.5565633943176
"ARSD",551.243044268196,83.1716391056453,2.66240831908481,761.2588579373,1623.22977234589,710.187589485042
"PNPLA4",31.844225907615,20.634652728771,0,138.061281542349,411.599330873211,156.144745892191
"MYH13",53.9438512583108,68.8018141745693,3.17463352464639,0,0,0
"ADIPOR2",209.407507679585,302.482003084224,66.1828918885286,476.852034545564,1370.79965493623,588.633627678206
"CDKL3",40.8597519563577,9.93058478468561,0,48.5232452989373,43.077207616323,35.7659827364208
"UPP2",6.46914662926109,7.48328119124103,0,0,0,0
"MARK4",106.093738973752,391.739566451837,13.1967334772991,402.593593899176,566.720979780851,315.788513936964
"PROM1",133.650283943814,129.800923264613,0.0143397441902121,5.48341962894478,0,2.11683850768023
"CCDC124",94.9090601373322,144.212923919572,1.8952947883769,2035.23966754483,3498.52413254883,1774.21149316329
"CEACAM21",64.2378819393981,209.579607119764,4.26680218482192,6.02570941825826,0,3.52960970432909
"PAFAH1B1",995.923086187746,845.262448903065,40.1006677003427,783.50123489685,1710.72755370036,891.566996366055
"NOS2",29.5160240610195,223.525843927871,0,1.41553197742884,2.06902331248347,0
"DNAH9",36.9698486846783,84.1255297413139,0,0,0,0
"KIAA0100",344.42434680688,330.097228531037,19.5560709949286,1027.08986900764,1942.17708507701,758.885463160369
"SLC13A2",5.20034173066844,28.6194000075458,0,0,0,0
"GAS7",35.5062518726563,402.90809046839,41.2429752384092,5.81016182003813,2.79044900339902,1.72868109195633
"TRAPPC6A",37.6665021649717,84.7561385492648,0,1247.51784978475,2038.60945306758,699.950586419753
"MATK",170.116543711782,346.873096773744,50.6694107559522,4.17908224438917,3.56382310610269,1.10385076452344
"CEACAM7",122.926187442036,19.2310838711739,2.85128610552016,33.6436194342224,0,0
"CD79B",31.7698612821835,44.3638919823332,0,19.8254170057377,3.20693661679915,11.1318619604085
"SCN4A",28.4227001903957,66.9186190616507,0.201497263590484,0.459363733911738,0,0
"ST7L",129.01908184197,130.088568240367,39.3850240570566,388.132282243215,499.831142385925,386.042168876154
"TKTL1",5.17549446749566,11.759703426827,4.01506558979095,0,0,0
"PAX6",118.468074652989,607.871123235297,0,0,12.4713101374406,0
"RPUSD1",123.38163201816,394.508778709896,3.27759841287733,210.961554291337,358.3116944311,124.786692332442
"RHBDF1",170.980705836139,183.758975071355,0,778.272983927954,402.627020867025,670.780373241196
"LUC7L",326.709665477386,271.222271984159,2867.29966953551,1776.65818305487,1372.16417855678,1425.46046325196
"CACNA2D2",29.2901398503579,198.145343348388,9.52062327688694,13.5901745717001,13.4448251749883,10.7183071883696
"BAIAP3",166.365227046997,420.244470812066,25.6405173743689,904.121505459814,354.653607915739,195.769327520738
"TSR3",205.68542308912,325.034833890685,0.874586271972382,1727.69835425302,2254.44258961183,1624.93026171066
"PIGQ",223.603311626166,643.528899588656,32.1425742724414,639.953451252055,568.044718946398,243.73199271244
"CRAMP1",15.8386022323953,8.27938884748352,0,0.246146786387402,0.863766139853203,9.22221605438225
"TEAD3",84.7697379950373,298.674941075045,0,1495.1429453538,1578.42512248177,520.947251007607
"SELE",19.0665318937711,2.55767975145175,0,6.22170962354596,2.79765155615994,9.25550250775419
"DNAJC11",102.173762098339,110.127942429095,0,838.78592341111,1080.69280397038,348.244882052776
"FMO3",8.49723251282856,15.5687270975816,0,4.35951971761146,0,13.7996224125669
"MYLIP",214.934850023452,200.147480541529,10.0216102415989,627.01796397903,1161.8794385,326.607026498478
"NOX1",39.2500390637528,3.13963935231895,0,154.308473089528,20.5584264093099,48.2753225645391
"E2F2",15.1357480090641,57.3898479564403,146.865286781045,20.5743828841712,46.7135964414919,4.5794824363575
"PSMB1",354.02996213771,353.094702628048,0,6092.35843474746,12303.4567160813,8548.0294596828
"SYN1",32.6188315860975,130.412961676311,1.33398546719401,6.02473204861163,0,4.17478559785627
"JARID2",105.49257693624,788.914635575773,13.8999459938354,102.674335387678,342.446451400805,95.2358648221895
"CDKL5",248.853268768222,226.172256171276,9.37221571420382,87.9316916380508,159.707334186698,31.9459988983107
"CAMK1G",8.14737773243329,56.0334243653853,2.63066499744483,0.870460443736513,0,0
"CDK11A",213.959694598719,892.028787817473,20.9256923588055,1305.51128068348,1095.46208856619,937.348464626718
"NADK",531.315317748522,7580.87169681715,166.381314479807,968.232668888144,1518.84308514998,802.935897440479
"TFAP2B",86.5745085472017,290.27412537601,0,281.979413100933,1.67504367646121,20.6686730605887
"TFAP2D",31.0098273498398,29.0592045328753,0,0,0,0
"DLEC1",19.535219485383,55.7631074002185,3.3798852396492,39.5724940751847,8.34136638432972,2.65066740853496
"CYTH3",73.639227078155,424.166486189596,6.74425040590163,36.3148458607174,160.235281304073,137.326342901884
"ADAM22",176.158503436763,106.310941334598,0,16.7007662454913,17.917970567157,7.76730047082381
"SYPL1",4491.65624000255,784.780499193163,22.492554267113,8990.62805569922,16416.9622630898,12361.2742788411
"CYB561",270.27098954885,629.041963461496,8.4471515336109,1063.77573942267,2162.93433684817,1205.18663143581
"SPAG9",606.234688226824,2924.81203892863,28.2612374704138,541.637658212342,1319.74201886081,519.877517127725
"CELSR3",87.3763532040286,186.215694640364,0.386444804901897,33.5251321601398,186.399004367659,9.54629185716974
"AASS",265.972944512221,15.471363294695,2.71091482679654,41.7913487198553,244.354165094574,177.605165965313
"PLEKHG6",427.52511052228,476.662707789935,11.0151837429465,153.401173328342,913.802273883306,178.732891628824
"SS18L2",53.7858208928911,45.7572601997353,7.3678911545453,538.574656922114,612.810655089428,417.69654799378
"MPND",52.8750646137079,60.0362601998445,25.6971480628959,553.660056688582,564.355751486074,541.511566538706
"MGST1",1971.12160608444,61.5749221513058,8.31995222656463,51922.6738368169,58463.5261740675,40529.919666649
"CRY1",133.497789956107,155.390994689127,6.26921812704006,123.717705337666,370.319430266466,129.753294145437
"PGLYRP1",44.1288279768912,244.582384672912,9.31214449160665,1.83768048248848,0,0
"NFIX",119.163798021826,219.898797062646,111.590470381844,25.7428639400626,233.048408057669,13.5028124364499
"ST3GAL1",552.302618380285,1138.01304124128,205.387339851318,1326.40797000419,1620.02994824994,1422.29935742332
"MMP25",85.4354320511635,1742.7998439807,106.457118209009,35.5853521929358,8.83041971679612,1.12634161139637
"IL32",50.1237506368281,93.8677950147077,139.441719246693,122.088655683591,58.3982977855307,100.895046313659
"PKD1",266.432242407233,719.540866274374,42.000156424411,191.726994828122,130.105922722235,61.6142632305425
"MAPK8IP2",102.379671058215,521.225708422228,0,1.76550549319956,5.10300863111106,3.08166123722608
"MED24",137.514099803713,337.429265614772,46.0869458485403,638.361541644552,981.75583828911,405.115721873909
"RHOBTB2",95.7335817972687,106.859814243551,8.38435550848371,416.777558122338,495.636015530328,414.490944889633
"HEATR5B",281.403847889883,171.967035005963,18.2833747496194,444.699730827523,376.684056045561,349.414682900591
"SEC62",699.697336468554,377.907825291046,79.8735177986067,1171.68080679451,1988.01764209197,1541.82049268587
"RPS20",12295.5355737286,648.559646088917,164.593831463424,113742.379017006,97842.3433203216,113633.523097327
"CSDE1",2493.49757834154,1357.89091391379,83.315721909023,4400.64645497161,14529.5639229403,5437.08922278191
"UBE3C",360.736995844513,402.730429318327,11.1065713595983,702.523678659067,1269.84048253542,918.214497754132
"REV3L",137.163890695145,281.516418047589,9.10660397264905,183.836088212709,54.2362126407242,83.2009780591814
"TENM1",6.24250947123063,4.61395880408893,2.30948988632641,2.58687190776351,0,0
"PAX7",17.3770065800658,135.543883694384,0,0,0,0
"MASP2",95.9581815683011,107.153278815314,3.70447577145041,48.5097124884456,52.6295932154917,31.353209377346
"IYD",33.19315326446,22.1529787885616,0.294316343322575,1.1690844619194,37.8361800679308,86.8624879300945
"FAM76A",91.8396480426148,109.373487386982,0,203.522643546346,204.807558809744,161.496460206256
"TRAF3IP3",133.512848903484,1201.20247625832,64.0180927835541,4.15036261323463,6.40333950018546,6.32726344750438
"POMT2",137.491865710821,172.86312201386,2.8248165952286,278.390737305383,222.973387223786,208.792150683616
"VTA1",178.10624540697,130.797774288795,0.866889018742435,535.581575152759,1170.47748585835,579.026437527966
